label,Alcohol,MalicAcid,Ash,AshAlcal,Magnesium,TotPhenols,Flavanoids,NonflavPhenols,Proanthocyanins,ColorInt,Hue,OD280x315,Proline
i79C2,343,51,247,223,910,318,323,416,811,198,499,381,337
i80C2,440,633,521,656,428,638,472,567,532,121,611,682,132
i81C2,256,37,278,445,221,497,410,321,352,114,774,678,0
i82C2,445,217,399,434,221,421,468,246,470,245,585,685,311
i83C2,277,79,588,709,111,352,265,510,342,86,714,532,252
i84C2,532,631,472,630,207,232,267,906,418,328,310,272,170
i85C2,214,31,630,392,331,421,400,170,670,165,267,664,173
i86C2,432,49,424,392,400,421,342,321,363,125,645,693,123
i87C2,298,176,466,646,276,276,289,567,397,110,731,363,155
i88C2,164,188,654,815,248,325,272,510,321,123,757,711,203
i89C2,161,267,557,582,193,335,289,661,325,142,448,543,287
i90C2,277,120,460,688,0,421,267,548,335,43,508,711,248
i91C2,277,221,472,418,152,214,248,736,425,105,516,367,145
i92C2,256,156,533,603,221,163,195,699,421,217,491,506,123
i93C2,437,160,436,535,138,138,240,850,418,165,413,290,155
i94C2,332,423,411,392,248,507,408,227,546,82,577,744,9
i95C2,156,253,448,392,386,704,410,76,325,184,585,620,48
i96C2,379,158,399,445,1000,525,412,359,991,123,585,499,471
i97C2,206,279,727,577,882,214,139,19,397,114,405,363,248
i98C2,332,136,266,286,207,542,461,302,470,151,645,539,107
i99C2,353,67,339,418,248,876,728,208,532,301,482,550,273
i100C2,332,492,405,392,248,645,566,604,829,96,809,572,92
i101C2,277,271,96,365,372,432,391,246,342,189,680,620,309
i102C2,414,122,217,418,248,163,218,302,325,110,482,550,203
i103C2,345,346,557,550,386,545,378,397,311,142,276,773,115
i104C2,208,199,205,471,221,525,278,453,349,73,396,429,98
i105C2,390,201,266,524,207,421,338,359,370,155,482,843,282
i106C2,366,366,442,603,276,242,321,1000,349,133,327,744,27
i107C2,322,201,351,445,138,232,361,453,421,198,448,696,166
i108C2,445,205,448,630,193,138,304,661,421,189,344,422,150
i109C2,314,112,241,445,304,476,363,491,577,133,327,642,25
i110C2,153,124,703,497,331,607,551,302,718,128,413,729,287
i111C2,114,607,168,471,510,759,479,208,1000,151,233,565,203
i112C2,393,342,381,550,248,542,412,246,280,68,362,554,34
i113C2,193,393,837,497,455,266,361,887,221,235,645,451,235
i114C2,101,0,582,550,248,518,357,548,356,168,534,381,112
i115C2,277,132,582,630,193,545,417,567,218,151,387,704,77
i116C2,0,156,399,577,207,511,391,736,553,58,1000,587,93
i117C2,208,148,272,540,221,345,269,321,387,63,405,755,155
i118C2,366,176,393,630,524,352,374,397,415,73,499,620,48
i119C2,458,544,266,286,138,225,195,567,145,198,190,312,68
i120C2,256,544,278,445,235,352,278,453,504,0,387,653,204
i121C2,111,336,533,497,359,663,523,359,490,184,276,777,248
i122C2,140,265,1000,947,676,759,1000,642,504,440,387,887,134
i123C2,366,746,721,841,441,421,383,567,449,75,379,678,63
i124C2,532,1000,357,577,221,566,493,321,553,123,215,671,73
i125C2,222,722,515,550,166,649,575,151,863,142,233,869,73
i126C2,274,287,381,550,207,559,493,453,325,138,327,737,72
i127C2,369,160,454,577,221,607,600,491,470,248,181,576,53
i128C2,200,281,752,947,304,397,406,850,466,161,422,429,135
i129C2,353,180,460,735,248,428,451,510,515,79,353,554,46
i130C2,266,720,509,603,138,387,301,548,325,123,267,477,216
i131C3,482,124,472,392,717,183,195,151,183,263,241,8,252
i132C3,487,455,521,497,469,111,188,208,145,384,224,55,180
i133C3,469,318,521,709,386,59,161,265,145,412,155,33,202
i134C3,440,568,497,577,496,249,184,76,149,347,258,8,230
i135C3,390,102,430,365,207,352,52,887,290,389,233,88,266
i136C3,414,348,399,418,331,221,69,944,183,543,215,114,298
i137C3,322,805,606,550,262,138,28,755,135,240,233,0,316
i138C3,395,965,667,762,359,280,56,944,239,347,293,154,170
i139C3,648,577,393,471,248,221,30,850,163,412,284,202,216
i140C3,477,449,648,709,428,463,56,755,139,340,353,323,223
i141C3,500,419,703,550,359,194,35,755,118,310,250,381,230
i142C3,614,368,490,497,262,145,35,453,80,403,190,440,359
i143C3,656,492,715,683,372,197,39,699,49,287,353,290,173
i144C3,682,851,490,497,304,352,99,642,211,291,370,286,195
i145C3,322,635,399,418,579,138,94,302,252,646,147,268,412
i146C3,561,572,369,550,441,180,45,567,308,254,104,151,394
i147C3,751,870,418,497,138,0,0,510,94,338,86,22,98
i148C3,485,783,569,577,221,249,67,642,156,594,52,217,248
i149C3,603,506,509,577,304,328,90,604,290,666,61,129,266
i150C3,540,639,497,577,593,149,225,397,252,757,78,22,195
i151C3,651,482,654,709,731,145,263,170,290,683,95,11,159
i152C3,464,391,569,603,579,173,218,208,294,887,0,74,145
i153C3,548,235,733,788,634,421,201,246,397,543,112,22,105
i154C3,579,518,448,418,386,283,105,906,504,861,69,88,284
i155C3,408,112,339,497,455,173,52,755,342,589,86,103,259
i156C3,564,900,472,603,317,263,62,906,394,617,104,77,319
i157C3,740,684,509,471,262,283,105,661,397,721,78,136,145
i158C3,374,463,667,868,372,318,52,944,252,580,164,169,430
i159C3,872,190,703,762,386,628,208,755,791,1000,78,253,273
i160C3,645,188,667,630,262,559,163,736,649,976,78,187,244
i161C3,350,625,509,550,248,456,124,699,218,594,69,114,173
i162C3,700,510,606,497,510,294,47,699,135,429,413,202,287
i163C3,479,512,630,603,496,232,56,887,190,401,336,308,209
i164C3,508,548,490,418,496,142,77,510,183,373,172,176,284
i165C3,724,409,460,603,276,128,73,529,214,774,190,151,241
i166C3,711,732,436,630,248,104,28,736,256,498,258,176,173
i167C3,637,599,642,656,565,249,124,567,363,876,319,107,298
i168C3,472,532,460,471,248,173,69,510,194,837,207,176,291
i169C3,672,372,697,735,483,197,107,491,390,688,224,195,337
i170C3,624,781,800,762,579,345,133,265,242,673,164,239,252
i171C3,308,463,472,445,359,94,33,510,111,394,155,206,166
i172C3,458,334,448,471,221,142,37,661,80,804,78,132,137
i173C3,824,358,569,497,290,242,77,585,287,785,121,162,273
i174C3,706,993,551,524,345,242,58,736,225,599,138,173,330
i175C3,624,641,569,656,441,283,88,567,346,561,190,107,337
i176C3,590,716,436,497,689,211,75,567,325,832,95,107,398
i177C3,564,374,503,497,689,232,73,755,363,748,104,129,401
i178C3,816,680,727,735,359,369,90,812,325,738,112,121,202
